title,director,cast,country,release_year,rating,listed_in,description,runtime
Pass Over,Spike Lee,"Jon Michael Hill, Julian Parker, Ryan Hallahan, Blake Delong",United States,2018,18+,Drama,"Academy Award nominee and Honorary Oscar winning Spike Lee captures the poetry, humor and humanity of this urgent and timely play about two young black men talking shit, passing the time, and dreaming of the promised land. A provocative riff on Waiting for Godot, PASS OVER by newcomer Antoinette Nwandu.",75
Pari,Prosit Roy,"Anushka Sharma Kohli, Parambrata Chatterjee, Rajat Kapoor, Ritabhari Chakraborty",India,2018,18+,"Horror, International","Pari is a supernatural horror film in which a man attempts to help a woman named Ruksana, an abuse victim, who he found chained up in a hut.",134
Pagalpanti,Anees Bazmee,"Anil Kapoor, John Abraham, Ileana D’Cruz, Urvashi Rautela, Arshad Warsi, Kriti Kharbanda, Pulkit Samrat, Saurabh Shukla",India,2019,13+,"Action, Comedy","3 men, considered as losers in their lives by the people, plan to get rich along with their girlfriends by fooling 2 gangsters and robbing their money.",149
Padmaavat,Sanjay Leela Bhansali,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari, Jim Sarbh, Anupriya Goenka, Raza Murad",India,2018,13+,"Drama, Historical, International","Set in 1303 AD medieval India, Padmaavat is the story of honor, valor and obsession. Queen Padmavati is known for her exceptional beauty along with a strong sense of justice and is the wife of Maharawal Ratan Singh and pride of the Kingdom of Chittor, a prosperous kingdom in the north west of India. The legend of her beauty reaches the reigning sultan of Hindustan – Allaudin Khilji.",163
Odeya (4K UHD),M.D. Sridhar,"Darshan, Sanah Thimmayyah, Yashas Surya",India,2019,13+,"Drama, International","Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements.",162
Odeya,M.D. Sridhar,"Darshan, Sanah Thimmayyah, Yashas Surya",India,2019,NR,"Drama, International","Hero Gajendra owns a transport company and also takes care of local residents, citizens and poor people with utmost care and affection. He and his four brothers lead a happy life helping the needy and protecting them from anti-social elements.",162
Notebook,Nitin Kakkar,"Zahir Iqbal, Pranutan Bahl",India,2019,ALL,"Drama, International, Romance","Kabir comes to Kashmir to be a school teacher. The school is situated in the middle of the remote Wuller lake, lacking basic amenities and attended by just a handful of students. At the school Kabir finds a notebook left behind by the previous year's teacher Firdaus and that changes his entire life. Happy and heart-warming Notebook is about two people finding love in the most unexpected way.",112
No Place to Hide: The Rehtaeh Parsons Story,Rama Rau,,Canada,2015,13+,"Documentary, Special Interest","Rehtaeh Parsons, a 15 year old student from Nova Scotia, was raped by four schoolboys while drunk at a sleepover. A photo of her rape soon began circulating online. Through the eyes of her parents, this film re-examines these alarming events, which ultimately led to Rehtaeh's suicide. A shocking testament to police indifference, the stigma of sexual assault and the effects of cyber bullying.",48
Night of the Running Man,Mark L. Lester,"Andrew McCarthy, John Glover, Scott Glenn, Wayne Newton",United States,1995,R,"Action, Adventure, Suspense","When a cabbie in Las Vegas discovers a million dollars in his taxi and skips town, the mob sends a ruthless hit man to track him down.",93
Night Falls on Manhattan,Sidney Lumet,"Andy Garcia, Lena Olin, Richard Dreyfuss, Ian Holm, Ron Leibman",United States,1997,R,Drama,A newly elected District attorney finds himself in the middle of a police corruption investigation that may involve his father and his partner.,114
NGK,K. Selvaraghavan,"Suriya, Sai Pallavi, Rakul Preet Singh",India,2019,ALL,Drama,"Suriya plays the title role Nandha Gopalan Kumaran, who has completed M.Tech, Ph.D doing organic farming for his living and do social work without any returns, leaving the corporate job, living a happy life with his parents and wife Sai Pallavi. At one point of time, opposition party's Bala Singh induces the idea of joining him in politics and circumstances led him to join the party too.",147
Neeti Palta - Almost Sanskari,Nenshad H. Karbhari,Neeti Palta,India,2019,18+,Comedy,"Come and laugh at the complicated inner workings of a comedian's mind as she shares a very personal journey from childhood to never growing up. From her not-strictly-traditional upbringing by her mom and army dad to buying condoms for her older brother, arranged marriages to society's expectations from her that she gleefully fails to meet.",58
Nawabzaade,Jayesh Pradhan,"Raghav Juyal, Dharmesh Yelande, Punit Pathak, Isha Rikhi, Sanjeeda Sheikh",India,2018,13+,"Comedy, International","Three best friends fall in love with the same girl and fight among themselves to win her affections. But, they soon realize that their beloved is much more than her exterior of a simple girl.",110
Mumbai Pune Mumbai 3,Satish Rajwade,"Swapnil Joshi, Mukta Barve, Prashant Damle, Mangal Kenkre, Vijay Kenkre, Savita Prabhune",India,2018,13+,"Comedy, Drama, International",They fell in love in the first part got married in the second and now its time to extend this most loved family. Gautam and Gauri are expectant parents and the film unfolds this journey of today's couple who will walk this path towards parenthood.,139
Muklawa,Simerjit Singh,"Ammy Virk, Sonam Bajwa, Gurpreet Ghuggi, BN Sharma, Karamjit Anmol, Sarbjit Cheema",India,2019,13+,"Comedy, Drama, International",Muklawa takes us back to the times when it was a common tradition for the girl to stay back at her parent's house from a few months to up to a year after her wedding.,111
Mr. Imperium,Don Hartman,"Debbie Reynolds, Lana Turner, Englo Pinza, Marjorie Main, Barry Sullivan",United States,1951,13+,Drama,"Mr. Imperium (Pinza), a royal bachelor prince, takes a vacation in Italy, where he meets and falls in love with nightclub singer Fredda Barlo (Turner). Circumstances force them to part at the end of the trip, but the two meet again ten years later, after Mr. Imperium has become king and Fredda has become a major Hollywood movie star. Passion rekindles again in the two, as they renew their romance.",87
Mr. Family Man,Kreeti Gogia,Praveen Kumar,India,2020,16+,"Arts, Entertainment, and Culture, Comedy","Being a SuperMan may be easy. Being a SpiderMan may be simple. But being a FamilyMan is the most difficult thing ever! Solving a problem without any repercussions, taking responsibilities without any pressure and growing a tummy without any worry a Family Man is what the world needs now. Come let's dive into the world of one such Family Man, Praveen Kumar.",55
Monster,Nelson Venkatesan,"SJ Surya, Priya Bhavani Shankar, Karunakaran, Anil Kumar",India,2019,ALL,"Comedy, Drama",A compassionate man who believes that earth is for every living creature gets troubled by a rat and tries to kill it. Did he kill it or let it go free is the crux of the story.,138
Missing,Mukul Abhyankar,"Tabu, Manoj Bajpayee, Annu Kapoor",India,2018,13+,"International, Suspense","Set on the theme 'nothing is what it seems', Missing is a thrilling tale about a couple, Mr. & Mrs. Dubey (essayed by Manoj and Tabu), and their 3-year-old daughter, Titli, who has gone missing at a beach resort in Mauritius. As the police get involved in the search, the suspense only increases with different people, different viewpoints and different versions about the missing child.",120
Middle Class Melodies,Vinod Anantoju,"Anand Deverakonda, Varsha Bollamma, Chaitanya, Divya Drishti",India,2020,16+,"Comedy, Drama","A comedy drama depicting the congenial lives of the middle class in a village and the ambitions of a young man who moves to a nearby city to pursue his dream of owning a hotel. The story surrounds middle class families, their dreams, beliefs, struggles and hope presented in a light hearted dramedy.",136
MCA (Middle Class Abbayi),Venu Sriram,"Nani, Sai Pallavi, Bhumika Chawla",India,2017,13+,"Drama, International",Nani(Nani) a middle-class guy who stays with his sister in law(Bhumika). He leads a happy go lucky life with his girlfriend(Sai Pallavi) but things change all of a sudden when Bhumika who is a government servant lands into problems with a dreaded criminal(Naresh Vijay) in Warangal. Rest of the story is as to how a simple guy like Nani confronts the dreaded gangster and saves his sister in law.,138
Maximum Ride,Jay Martin,"Allie Marie Evans, Patrick Johnson, Lyliana Wray, Luke Gregory Crosby, Gavin Lewis",United States,2016,PG-13,"Action, Science Fiction","Maximum Ride is the extraordinary journey of six DNA-enhanced young orphans with the ability to fly - on a mission to rescue the youngest of their flock while discovering, scientific diabolical secrets of how they came to exist.",88
Mathu Vadalara,Ritesh Rana,"Sri Simha Koduri, Athulya Chandra, Vennela Kishore, Satya Akkala, Naresh Agastya",India,2019,16+,Drama,"Babu is a delivery boy living with his friends Yesu and Abhi. Due to his meagre salary, he decides to quit, but then Yesu gives him an idea. The idea, however, soon spirals out of control and Babu finds himself deep in trouble. Will he survive the consequences of his own actions?",129
Luv Ka The End,Bumpy,"Taaha Shah, Shraddha Kapoor, Riya Bamniyal, Sreejita De, Micky Makhija, Rahul Pardasany, Ali Zafar, Archana Puran Singh, Pushtiie S., Meherzan B. Mazda, Jannat Zubair Rahmani, Errol Peter Marks, Neha Gehlot, Lavanya Jain, Shenaz Treasuryvala, Arjun Sablok, Mahabanoo Mody Kotwal",India,2011,18+,"Comedy, Drama, International","This is a young anti rom com kind of movie focussing on, Rhea Dialdas and Luv Nanda. On the eve of her 18th birthday, they plan to take their relationship to the 'next level', but she accidentally finds out that Luv is not really the nice guy she thought he was. Humiliated and hurt, she decides to teach him a few kick-ass lessons he will never forget and sets out to do so with her friends.",107
"Love, Kennedy",T.C. Christensen,"Jasen Wade, Heather Beers, Tatum Chiniquy",United States,2017,PG,Faith and Spirituality,"Kennedy Hansen is a 15 year old girl with three goals, drive a car, date boys and be a cheerleader. Even though she contracts a terrible disease, Kennedy is able to triump over her obstacles and make her dreams come true.",92
Love Simple,Mark von Sternberg,"Francisco Solorzano, Patrizia Hernandez, Israel Horovitz, Caitlin Fitzgerald, John Harlacher",United States,2011,16+,Drama,Adam and Seta fall madly in love after meeting in a Brooklyn laundromat. She suffers from Lupus. He's stuck at home caring for his chronically ill father. Both lie through their teeth to avoid having to reveal they are anything but perfect.,86
LAW,Raghu Samarth,"Ragini Prajwal, Mukhyamantri Chandru, Sudharani, Achyuth Kumar, Avinash, Rajesh Nataranga, Krishna Hebbale, Mandya Ramesh, Nagaraj Murthy, Siri Prahlad, Madhu Hegde, Likhitesh, Imran Pasha",India,2020,16+,Suspense,"There are umpteen stories that involve crime and investigations. Sometimes, the case even gets dismissed due to lack of evidence and the accused are set free. However ‘Law’ is a paradigm shift from the rest in this genre. Nandhini, a law student who is caught in a precarious situation fights for justice for a gruesome crime that took place.",120
KROOS (4K UHD),Manfred Oldenburg,"Toni Kroos, Jessica Kroos, Felix Kroos, Gareth Bale, Casemiro, Luka Modrić, Florentino Pérez, Sergio Ramos, José Ángel Sánchez, Pep Guardiola, Jupp Heynckes, Uli Hoeneß, Miroslav Klose, Joachim Löw, Matthias Sammer, Zinédine Zidane, Sascha Breese, Dirk Hebel, Volker Struth, Marcel Reif, Robbie Williams",Germany,2019,G,"Documentary, Special Interest","KROOS is a look behind the scenes of the closed-off world of international football, featuring footage and interviews with icons like Zinédine Zidane, Pep Guardiola, Luka Modrić, Sergio Ramos and the singer Robbie Williams.",114
